StartDate,StartTime,EndDate,EndTime,Duration,IPAddress,Latitude,Longitude,User,learn_sent,think_sent,curious,enjoy_sent,more_course,empat_sent,cred_sent,feel_sent,assist_sent,uncomf_sent,indiff_sent,intres_sent,amia_sent,arrog_sent,friend_sent,empath_host,cred_host,feel_host,assit_host,uncomf_host,indiff_host,intres_host,amia_host,arrog_host,friend_host,1stQ,2ndQ,Male,Age,Expr,Educ,enthus_self,critic_self,dissip_self,anx_self,openm_self,intro_self,simp_self,unorg_self,stable_self,uncreat_self,typeB,score,Period
23/02/2020,13:26:35,23/02/2020,13:30:00,205,109.186.128.213,32.06669617,34.76669312,1234561131,4,4,5,4,4,3,2,3,4,2,2,3,3,4,2,4,4,4,4,4,2,4,4,4,4,4,5,1,28,4,3,2,2,7,2,6,6,6,2,4,2,0,0,0
25/02/2020,6:15:25,25/02/2020,6:23:53,508,37.26.146.168,32.06669617,34.76669312,1234561029,2,1,2,2,3,2,2,3,3,5,3,1,2,5,3,3,3,2,2,3,3,2,3,4,3,4,5,0,56,4,4,1,4,7,5,3,5,7,1,5,4,0,100,0
27/02/2020,6:43:43,27/02/2020,6:47:49,245,89.139.125.21,32.81599426,34.98210144,1234561037,1,3,4,5,4,3,4,5,5,5,1,3,5,5,4,4,4,3,4,4,2,4,4,5,4,4,2,1,27,3,3,4,5,4,6,5,2,3,4,2,4,0,75,0
27/02/2020,7:07:07,27/02/2020,7:10:38,211,2.53.145.94,32.06669617,34.76669312,1234561038,5,3,1,3,2,3,4,4,4,3,3,3,2,3,2,3,3,2,2,1,4,3,3,2,2,4,2,1,28,2,3,1,4,4,3,2,2,2,1,4,3,0,63,0
27/02/2020,7:16:23,27/02/2020,7:20:51,267,77.124.21.95,32.06669617,34.76669312,1234561039,3,3,3,3,3,3,3,3,3,4,3,3,2,4,2,3,3,3,3,3,3,3,3,3,3,4,2,1,26,2,2,2,2,5,1,4,4,4,3,7,4,0,75,0
27/02/2020,6:11:44,27/02/2020,6:19:35,471,89.139.125.21,32.81599426,34.98210144,1234562112,1,1,3,2,1,1,1,3,2,4,3,2,1,5,2,4,4,5,5,3,4,5,5,3,2,4,2,1,27,3,3,5,5,3,6,6,2,3,4,2,5,0,88,0
27/02/2020,6:32:11,27/02/2020,6:37:18,307,185.175.35.230,32.06669617,34.76669312,1234562113,5,5,4,4,3,4,3,1,4,1,3,1,4,2,3,5,5,5,5,1,1,5,5,1,5,4,2,1,28,2,3,1,1,6,1,7,6,5,4,6,1,0,75,0
27/02/2020,7:14:35,27/02/2020,7:19:23,288,37.26.149.166,31.9631958,34.80400085,1234562114,4,4,5,5,5,5,3,2,4,2,3,5,4,4,3,3,4,2,4,3,2,4,4,2,5,4,2,1,28,3,1,5,3,6,2,7,4,6,3,6,1,0,75,0
29/02/2020,1:29:09,29/02/2020,1:44:38,928,5.29.212.75,32.68890381,34.94239807,1234561022,3,2,3,3,3,4,2,3,3,3,2,3,2,4,2,3,2,3,2,4,3,3,2,4,2,4,2,0,25,3,2,4,5,7,1,6,3,6,2,4,2,0,100,0
29/02/2020,6:11:06,29/02/2020,6:15:41,275,213.57.236.135,32.33479309,34.85960388,1234561030,4,4,3,4,3,2,2,4,4,5,4,3,2,4,2,4,2,5,3,4,4,4,2,5,2,4,2,1,22,3,3,2,3,6,3,6,3,6,2,4,4,0,88,0
